"","NutRat","VitAdd","Year","Value","SD"
"1","0","no","2022",13.3872242222222,2.84790083837156
"2","2.2","no","2022",17.9658646855556,5.99113788558292
"3","16","no","2022",16.320631704,7.69415626329695
"4","55","no","2022",127.203519144444,151.912478258923
"5","110","no","2022",52.8331631111111,30.5960176764223
"6","0","yes","2022",12.5025921111111,2.25005008457837
"7","2.2","yes","2022",18.2866617033333,4.70967410410236
"8","16","yes","2022",15.4976869443333,5.85320900638642
"9","55","yes","2022",126.821528541111,148.180596333867
"10","110","yes","2022",48.8816674444444,25.2664153201079
"11","0","no","2023",7.22503077777778,5.14522443153102
"12","2.2","no","2023",26.2275546288889,10.7933683523133
"13","16","no","2023",27.4656015922222,9.55943716401184
"14","55","no","2023",38.089009,5.27117864863229
"15","110","no","2023",55.8608157444444,39.4509869292118
"16","0","yes","2023",6.74228933333333,4.99610068102776
"17","2.2","yes","2023",33.6080427777778,9.40713542401704
"18","16","yes","2023",34.9961897044444,10.6982899044098
"19","55","yes","2023",34.5573678888889,6.86414217186825
"20","110","yes","2023",57.0174141811111,43.149569236953
