"","NutRat","VitAdd","Year","Value","SD","Nut"
"1",0,"no","2022",68.0555555555556,112.011295313365,"NOX"
"2",2.2,"no","2022",2535.64444444444,3783.28051897791,"NOX"
"3",16,"no","2022",672.388888888889,804.460924228835,"NOX"
"4",55,"no","2022",4181.58811111111,3210.42646618944,"NOX"
"5",110,"no","2022",2927.5,1896.15624356222,"NOX"
"6",0,"yes","2022",41.9888888888889,21.9836555447703,"NOX"
"7",2.2,"yes","2022",2435.41666666667,3638.49311030679,"NOX"
"8",16,"yes","2022",699.488888888889,812.231819501742,"NOX"
"9",55,"yes","2022",3577.79266666667,2809.12360242728,"NOX"
"10",110,"yes","2022",2996.66666666667,1636.86438045429,"NOX"
"11",0,"no","2023",0,0,"NOX"
"12",2.2,"no","2023",2.6,7.8,"NOX"
"13",16,"no","2023",18.5666666666667,28.1606995651742,"NOX"
"14",55,"no","2023",0,0,"NOX"
"15",110,"no","2023",0.878888888888889,2.63666666666667,"NOX"
"16",0,"yes","2023",0,0,"NOX"
"17",2.2,"yes","2023",0.681111111111111,2.04333333333333,"NOX"
"18",16,"yes","2023",10.6955555555556,20.3117743631072,"NOX"
"19",55,"yes","2023",0,0,"NOX"
"20",110,"yes","2023",3.85,7.22515447190281,"NOX"
"21",0,"no","2022",22.3022222222222,10.3614209664719,"NH4"
"22",2.2,"no","2022",130.17,164.968057135313,"NH4"
"23",16,"no","2022",12.5805555555556,9.1723839746152,"NH4"
"24",55,"no","2022",248.026666666667,369.886289013259,"NH4"
"25",110,"no","2022",40.4,25.8426851352564,"NH4"
"26",0,"yes","2022",12.9677777777778,9.37959857586904,"NH4"
"27",2.2,"yes","2022",118.848888888889,144.610514956939,"NH4"
"28",16,"yes","2022",9.41666666666667,7.38237597254434,"NH4"
"29",55,"yes","2022",237.808888888889,352.01357528668,"NH4"
"30",110,"yes","2022",34.9222222222222,26.8045135088187,"NH4"
"31",0,"no","2023",40.1888888888889,8.03670399548914,"NH4"
"32",2.2,"no","2023",12.1922222222222,4.59497491227585,"NH4"
"33",16,"no","2023",22.3333333333333,13.2651799837017,"NH4"
"34",55,"no","2023",12.6688888888889,2.04409787219475,"NH4"
"35",110,"no","2023",14.8988888888889,5.97494862832402,"NH4"
"36",0,"yes","2023",48.7888888888889,9.5037419530999,"NH4"
"37",2.2,"yes","2023",13.3533333333333,3.0258428577836,"NH4"
"38",16,"yes","2023",18.2555555555556,7.70914410150555,"NH4"
"39",55,"yes","2023",17.2211111111111,16.944682384486,"NH4"
"40",110,"yes","2023",23.1625,16.4400154240456,"NH4"
"41",0,"no","2022",3.25166666666667,0.538910938838692,"SRP"
"42",2.2,"no","2022",3.59555555555556,1.40151802620508,"SRP"
"43",16,"no","2022",2.96888888888889,0.775752770611302,"SRP"
"44",55,"no","2022",24.0122222222222,16.6621575567045,"SRP"
"45",110,"no","2022",5.85944444444444,3.44336358489454,"SRP"
"46",0,"yes","2022",2.94444444444444,0.612354291058516,"SRP"
"47",2.2,"yes","2022",2.98166666666667,1.07805959946563,"SRP"
"48",16,"yes","2022",2.77722222222222,0.762590613923647,"SRP"
"49",55,"yes","2022",20.7466666666667,13.3223655932421,"SRP"
"50",110,"yes","2022",5.93222222222222,3.99381640094339,"SRP"
"51",0,"no","2023",3.71055555555556,1.17776919546139,"SRP"
"52",2.2,"no","2023",57.7277777777778,29.6039071651774,"SRP"
"53",16,"no","2023",64.0411111111111,47.205445248521,"SRP"
"54",55,"no","2023",19.2333333333333,12.511134041325,"SRP"
"55",110,"no","2023",29.5611111111111,12.7158802727578,"SRP"
"56",0,"yes","2023",3.53455555555556,1.97466244654062,"SRP"
"57",2.2,"yes","2023",38.9388888888889,26.1926728516032,"SRP"
"58",16,"yes","2023",63.2022222222222,45.6954512992753,"SRP"
"59",55,"yes","2023",18.7122222222222,8.15344984926285,"SRP"
"60",110,"yes","2023",35.975,18.6157959040933,"SRP"
